TP_ID,TP_CODE,TP_PERCEN,TP_INT,TP_NUM_UP,TP_NUM_LO
750,HF,50,50,0,1
750,SW,50,50,0,1
953840847,HF,50,50,0,1
953840847,BI,50,50,0,1
AFS403/36,HF,50,50,0,1
AFS403/36,SW,50,50,0,1
AFS407/36,HF,50,50,0,1
AFS407/36,SW,50,50,0,1
AFS55,HF,50,50,0,1
AFS55,SW,50,50,0,1
AFS68,HF,50,50,0,1
AFS68,SW,50,50,0,1
AFS69,HF,50,50,0,1
AFS69,SW,50,50,0,1
AFS73/36,HF,50,50,0,1
AFS73/36,SW,50,50,0,1
AFS73/38,HF,50,50,0,1
AFS73/38,SW,50,50,0,1
AFS81/36,HF,50,50,0,1
AFS81/36,SW,50,50,0,1
AFS94/36,HF,50,50,0,1
AFS94/36,SW,50,50,0,1
AFSG013,HF,50,50,0,1
AFSG013,SW,50,50,0,1
AFSH096,HF,50,50,0,1
AFSH096,SW,50,50,0,1
B716,HF,50,50,0,1
B716,SW,50,50,0,1
B787,HF,50,50,0,1
B787,SW,50,50,0,1
CB60,CHA,50,50,0,1
CB60,AB,50,50,0,1
CB80/40,CHA,50,50,0,1
CB80/40,AB,50,50,0,1
CBKK,CHA,50,50,0,1
CBKK,AB,50,50,0,1
CB-SK48,CHA,50,50,0,1
CB-SK48,AB,50,50,0,1
CB-SK49,CHA,50,50,0,1
CB-SK49,AB,50,50,0,1
CBT124/41,CHA,50,50,0,1
CBT124/41,AB,50,50,0,1
CBT170/41,CHA,50,50,0,1
CBT170/41,AB,50,50,0,1
CBT39/41,CHA,50,50,0,1
CBT39/41,AB,50,50,0,1
CBT49/41,CHA,50,50,0,1
CBT49/41,AB,50,50,0,1
CBTAK26/40,CHA,50,50,0,1
CBTAK26/40,AB,50,50,0,1
CBTK26/41,CHA,50,50,0,1
CBTK26/41,AB,50,50,0,1
CC41084,CHA,50,50,0,1
CC41084,AB,50,50,0,1
CC42033,CHA,50,50,0,1
CC42033,AB,50,50,0,1
CC42063,CHA,50,50,0,1
CC42063,AB,50,50,0,1
D-G33-1/25,HF,50,50,0,1
D-G33-1/25,BI,50,50,0,1
D-G33-2/25,HF,50,50,0,1
D-G33-2/25,BI,50,50,0,1
D-GH95-1/25,HF,50,50,0,1
D-GH95-1/25,BI,50,50,0,1
D-GH95-2/25,HF,50,50,0,1
D-GH95-2/25,BI,50,50,0,1
D-GH95-3/25,HF,50,50,0,1
D-GH95-3/25,BI,50,50,0,1
D-RW308/24,HF,50,50,0,1
D-RW308/24,BI,50,50,0,1
D-SAG-2/28,HF,50,50,0,1
D-SAG-2/28,BI,50,50,0,1
D-VR12-2/25,HF,50,50,0,1
D-VR12-2/25,BI,50,50,0,1
D-VR12-3/25,HF,50,50,0,1
D-VR12-3/25,BI,50,50,0,1
D-VR12-4/25,HF,50,50,0,1
D-VR12-4/25,BI,50,50,0,1
D-VR12-5/25,HF,50,50,0,1
D-VR12-5/25,BI,50,50,0,1
E885,HF,50,50,0,1
E885,SW,50,50,0,1
F623,HF,50,50,0,1
F623,SW,50,50,0,1
G030,HF,50,50,0,1
G030,SW,50,50,0,1
G031,HF,50,50,0,1
G031,SW,50,50,0,1
G361,HF,50,50,0,1
G361,SW,50,50,0,1
H158,HF,50,50,0,1
H158,SW,50,50,0,1
J082,HF,50,50,0,1
J082,SW,50,50,0,1
J094,HF,50,50,0,1
J094,SW,50,50,0,1
KU41569,CHA,50,50,0,1
KU41569,AB,50,50,0,1
L083,HF,50,50,0,1
L083,SW,50,50,0,1
M094,HF,50,50,0,1
M094,SW,50,50,0,1
M124,HF,50,50,0,1
