Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
TZDAD_ID,TZDAD_NAME,GDAD_ID,GDAD_NAME,GMOM_ID,GMOM_NAME,ID_K,NAME_K,ID_OK,NAME_OK
750,DAS SAH 750,S16,,S2931,,,,,
953840847,PIGEONWOOD RED-ET,352882,ROMANDALE REGAL,ANA,ANIMAL NOT AVAILABLE,,,,
AFS403/36,AFS403/36,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFS407/36,AFS407/36,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFS55,AFS55,,,,,,,,
AFS68,AFS68,,,,,,,,
AFS69,AFS69,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFS73/36,AFS73/36,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFS73/38,AFS73/38,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFS81/36,AFS81/36,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFS94/36,AFS94/36,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
AFSG013,AFSG013,,,,,,,,
AFSH096,AFSH096,,,,,,,,
B716,DAS SAH B716,,,,,,,,
B787,DAS SAH B787 BATTUR,750,,S2097,,,,,
C151,C151,GKM59,G-KM NUBOXER FRANCISCUS,1588,1588(ผ่องศรี),,,,
C184,C184,GKM59,G-KM NUBOXER FRANCISCUS,F760,F760(เข็มทอง),,,,
C186,C186,GKM59,G-KM NUBOXER FRANCISCUS,B115,B115(ด่างสมบูรณ์),,,,
CB60,CB60,ANA,ANIMAL NOT AVAILABLE,ANA,ANIMAL NOT AVAILABLE,,,,
CB80/40,CB 80/40,38-24671,VERACRUZ,T23/33,,,,,
CBKK,CB KK,,,,,,,,
CB-SK48,CB-SK48,,,,,,,,
CB-SK49,CB-SK49,,,,,,,,
CBT124/41,CBT124/41,,,,,,,,
CBT170/41,CBT170/41,,,,,,,,
CBT39/41,CBT39/41,,,,,,,,
CBT49/41,CBT49/41,,,,,,,,
CBTAK26/40,TAK26/40,,,,,,,,
CBTK26/41,CBTK26/41,28913AI,,35135TAK,,,,,
CC41084,CC 41084,5888113293,DONIZETTI,ช3,,,,,
CC42033,CC 42033,K11-36/241,,47/38,,,,,
CC42063,CC42063,UNLIMITED,,98,,,,,
D-G33-1/25,D-G33-1/25,G33,GER-HD JENNE G-33,F547,,,,,
D-G33-2/25,D-G33-2/25,G33,GER-HD JENNE G-33,แจ๋ว,,,,,
D-GH95-1/25,D-GH95-1/25,GH95,,B779,,,,,
D-GH95-2/25,D-GH95-2/25,GH95,,B781,,,,,
D-GH95-3/25,D-GH95-3/25,GH95,,894,,,,,
D-RW308/24,D-RW308/24,EM308,ELZA 4 S MAURITS 3-027931,F176,,,,,
D-SAG-2/28,D-SAG-2/28,,,,,,,,
D-VR12-2/25,D-VR12-2/25,VR12,HD93 VRIENDENHOF 12(VR12-01093),F154,,,,,
D-VR12-3/25,D-VR12-3/25,VR12,HD93 VRIENDENHOF 12(VR12-01093),F734,,,,,
D-VR12-4/25,D-VR12-4/25,VR12,HD93 VRIENDENHOF 12(VR12-01093),F175,,,,,
D-VR12-5/25,D-VR12-5/25,VR12,HD93 VRIENDENHOF 12(VR12-01093),แดง,,,,,
E885,EUROA(N132),S2619,,S2907,,,,,
F623,DAS SAH F623,,,,,,,,
G030,DAS SAH G030 GERRUT,S2619,,B170,,,,,
G031,GALGA(N091),S2619,,Z779,,,,,
G361,GETTEN(P029),S2619,,Z017,,,,,
H158,HANYA(P016),S2619,,B124,,,,,
J082,JABIRU,S2619,,E267,,,,,
J094,JIMARCO(N096),750,DAS SAH 750,E916,,,,,
